Attendance_ID,Staff_ID,Attendance_Date,Status,Shift,Location_ID
AT00001,S0042,2024-09-13,Leave,Afternoon,L002
AT00002,S0455,2024-08-19,Absent,Night,L002
AT00003,S0071,2024-11-16,Absent,Night,L002
AT00004,S0224,2024-07-08,Sick,Morning,L005
AT00005,S0286,2024-09-30,Present,Night,L003
AT00006,S0109,2025-03-09,Leave,Afternoon,L005
AT00007,S0325,2024-10-02,Absent,Morning,L001
AT00008,S0432,2024-12-29,Present,Afternoon,L002
AT00009,S0255,2024-10-07,Present,Night,L002
AT00010,S0050,2024-12-23,Sick,Night,L005
AT00011,S0169,2024-08-21,Leave,Night,L003
AT00012,S0003,2025-04-28,Present,Morning,L004
AT00013,S0042,2025-01-12,Absent,Night,L005
AT00014,S0161,2024-09-22,Absent,Morning,L002
AT00015,S0238,2025-03-03,Leave,Afternoon,L005
AT00016,S0304,2024-12-16,Absent,Afternoon,L005
AT00017,S0057,2024-09-30,Leave,Afternoon,L004
AT00018,S0295,2025-03-04,Present,Morning,L004
AT00019,S0275,2024-09-04,Present,Afternoon,L001
AT00020,S0327,2025-03-17,Absent,Morning,L005
AT00021,S0040,2025-01-19,Sick,Afternoon,L003
AT00022,S0421,2024-10-21,Absent,Night,L005
AT00023,S0163,2025-03-18,Absent,Night,L003
AT00024,S0023,2024-11-14,Sick,Night,L004
AT00025,S0496,2025-03-14,Leave,Afternoon,L001
AT00026,S0099,2025-01-21,Leave,Night,L002
AT00027,S0151,2024-12-16,Sick,Night,L002
AT00028,S0465,2024-05-30,Present,Morning,L005
AT00029,S0214,2025-02-05,Sick,Morning,L003
AT00030,S0400,2025-01-02,Absent,Morning,L002
AT00031,S0222,2025-01-26,Absent,Afternoon,L005
AT00032,S0483,2025-02-06,Sick,Morning,L003
AT00033,S0158,2024-09-27,Leave,Night,L003
AT00034,S0086,2025-03-20,Present,Morning,L002
AT00035,S0364,2025-02-23,Absent,Afternoon,L003
AT00036,S0155,2025-01-25,Absent,Afternoon,L001
AT00037,S0232,2024-06-07,Leave,Afternoon,L003
AT00038,S0321,2025-01-23,Sick,Morning,L002
AT00039,S0339,2024-06-26,Sick,Night,L004
AT00040,S0155,2024-07-28,Sick,Night,L005
AT00041,S0007,2024-12-13,Sick,Morning,L001
AT00042,S0094,2024-05-31,Present,Afternoon,L004
AT00043,S0397,2024-09-15,Absent,Afternoon,L005
AT00044,S0380,2024-10-24,Absent,Night,L001
AT00045,S0314,2024-11-10,Present,Morning,L005
AT00046,S0416,2024-09-28,Leave,Morning,L001
AT00047,S0059,2025-04-16,Sick,Night,L002
AT00048,S0062,2024-10-18,Sick,Afternoon,L002
AT00049,S0477,2024-12-09,Present,Night,L005
AT00050,S0322,2024-08-11,Present,Afternoon,L003
AT00051,S0078,2024-06-23,Leave,Night,L005
AT00052,S0197,2024-10-26,Sick,Afternoon,L001
AT00053,S0165,2024-08-20,Sick,Afternoon,L004
AT00054,S0015,2024-11-29,Sick,Night,L001
AT00055,S0094,2025-01-15,Sick,Morning,L005
AT00056,S0161,2025-02-21,Leave,Morning,L002
AT00057,S0242,2024-10-29,Present,Night,L003
AT00058,S0012,2025-04-24,Absent,Afternoon,L002
AT00059,S0393,2024-07-30,Sick,Afternoon,L004
AT00060,S0157,2024-06-05,Sick,Night,L004
AT00061,S0167,2024-10-20,Sick,Night,L004
AT00062,S0082,2024-11-29,Absent,Morning,L003
AT00063,S0488,2024-12-14,Absent,Afternoon,L004
AT00064,S0423,2025-01-24,Sick,Morning,L002
AT00065,S0031,2024-08-25,Leave,Morning,L003
AT00066,S0338,2024-09-15,Sick,Morning,L002
AT00067,S0226,2025-02-14,Leave,Afternoon,L001
AT00068,S0185,2024-10-17,Absent,Afternoon,L004
AT00069,S0085,2024-11-23,Leave,Night,L005
AT00070,S0369,2024-07-22,Absent,Night,L005
AT00071,S0399,2024-06-10,Leave,Night,L003
AT00072,S0430,2024-10-02,Sick,Morning,L005
AT00073,S0139,2024-06-07,Absent,Night,L004
AT00074,S0460,2025-03-23,Sick,Afternoon,L001
AT00075,S0152,2025-03-02,Sick,Morning,L003
AT00076,S0157,2024-08-18,Sick,Night,L004
AT00077,S0100,2024-10-30,Leave,Afternoon,L005
AT00078,S0428,2025-01-06,Sick,Morning,L004
AT00079,S0080,2024-06-25,Absent,Morning,L002
AT00080,S0445,2024-06-30,Leave,Morning,L001
AT00081,S0333,2024-08-28,Absent,Morning,L003
AT00082,S0245,2025-04-21,Present,Night,L002
AT00083,S0021,2025-01-10,Sick,Night,L001
AT00084,S0261,2024-10-30,Leave,Afternoon,L004
AT00085,S0456,2025-03-15,Absent,Night,L001
AT00086,S0246,2024-10-05,Present,Night,L002
AT00087,S0045,2024-06-03,Absent,Night,L004
AT00088,S0317,2024-11-09,Absent,Night,L004
AT00089,S0437,2024-11-29,Sick,Night,L002
AT00090,S0446,2024-09-20,Absent,Afternoon,L003
AT00091,S0287,2024-08-01,Sick,Morning,L004
AT00092,S0443,2025-02-16,Sick,Afternoon,L005
AT00093,S0100,2024-05-09,Leave,Afternoon,L005
AT00094,S0275,2024-05-10,Sick,Afternoon,L004
AT00095,S0033,2025-01-27,Sick,Morning,L005
AT00096,S0116,2024-07-05,Present,Night,L005
AT00097,S0442,2024-11-08,Present,Afternoon,L003
AT00098,S0143,2025-01-10,Leave,Night,L003
AT00099,S0407,2024-09-05,Absent,Morning,L002
AT00100,S0132,2025-03-07,Sick,Afternoon,L005
AT00101,S0287,2024-09-14,Absent,Night,L004
