Room_ID,Location_ID,Room_Type,Capacity,Admission_ID,Occupancy_Status,Last_Cleaned
R00001,D003,ICU,1,ADM03999,Occupied,2024-11-05
R00002,D004,ICU,1,,Occupied,2024-12-30
R00003,D001,General,2,,Occupied,2025-02-01
R00004,D003,Semi-Private,2,ADM03090,Vacant,2025-03-01
R00005,D007,General,2,ADM00905,Occupied,2024-08-10
R00006,D001,Private,4,ADM05412,Occupied,2024-09-08
R00007,D001,Semi-Private,1,ADM01954,Occupied,2024-09-17
R00008,D001,ICU,1,ADM06588,Occupied,2024-10-30
R00009,D008,ICU,1,ADM07704,Occupied,2025-04-06
R00010,D003,Semi-Private,2,ADM06222,Occupied,2025-01-29
R00011,D003,General,2,ADM09484,Occupied,2024-05-26
R00012,D008,ICU,4,,Occupied,2025-01-19
R00013,D007,Private,1,,Occupied,2024-05-28
R00014,D003,Semi-Private,4,ADM09064,Occupied,2025-01-20
R00015,D002,Private,2,,Occupied,2025-04-08
R00016,D001,General,4,ADM06928,Vacant,2024-11-15
R00017,D008,ICU,2,ADM09890,Occupied,2024-06-07
R00018,D008,General,2,,Occupied,2024-07-19
R00019,D007,Private,4,ADM07961,Vacant,2025-04-13
R00020,D007,General,4,ADM07438,Occupied,2025-02-11
R00021,D002,General,4,ADM05487,Occupied,2024-11-01
R00022,D003,ICU,4,ADM08502,Occupied,2024-05-15
R00023,D004,Private,2,ADM06479,Occupied,2024-07-22
R00024,D008,General,4,ADM01647,Vacant,2025-01-29
R00025,D005,ICU,1,ADM07284,Occupied,2024-10-24
R00026,D002,ICU,4,ADM04845,Occupied,2025-03-31
R00027,D003,Semi-Private,4,ADM06903,Occupied,2024-11-11
R00028,D002,Semi-Private,4,ADM02668,Occupied,2024-07-12
R00029,D008,ICU,1,ADM06368,Occupied,2025-02-08
R00030,D002,General,1,ADM02667,Occupied,2025-02-22
R00031,D006,ICU,2,ADM02850,Occupied,2024-05-28
R00032,D008,Private,4,ADM09163,Occupied,2024-06-21
R00033,D001,Private,1,ADM06544,Occupied,2025-02-15
R00034,D007,ICU,4,ADM04191,Occupied,2025-03-23
R00035,D003,General,1,ADM08582,Occupied,2024-10-12
R00036,D004,Private,4,ADM02491,Occupied,2024-10-16
R00037,D003,Private,2,ADM04292,Occupied,2024-09-03
R00038,D001,Semi-Private,2,ADM03143,Occupied,2024-05-18
R00039,D002,ICU,4,ADM01819,Occupied,2024-12-19
R00040,D005,ICU,1,ADM08859,Occupied,2025-01-21
R00041,D005,General,1,ADM01007,Occupied,2024-06-14
R00042,D006,Private,4,ADM05976,Occupied,2024-08-03
R00043,D006,Semi-Private,2,ADM08921,Occupied,2024-08-26
R00044,D006,ICU,4,ADM04529,Occupied,2025-04-14
R00045,D005,General,4,ADM02371,Occupied,2025-04-20
R00046,D001,ICU,2,ADM01704,Occupied,2024-09-07
R00047,D005,Semi-Private,1,ADM00078,Occupied,2025-03-26
R00048,D004,General,4,,Occupied,2025-03-09
R00049,D007,General,1,ADM07489,Occupied,2024-11-18
R00050,D006,Semi-Private,4,,Occupied,2025-02-24
R00051,D008,ICU,1,ADM03598,Occupied,2025-01-23
R00052,D002,ICU,4,ADM06379,Vacant,2024-06-30
R00053,D001,ICU,2,ADM03992,Occupied,2024-11-10
R00054,D003,ICU,4,ADM03666,Occupied,2024-08-26
R00055,D003,Semi-Private,2,,Occupied,2024-08-16
R00056,D002,Private,2,ADM05287,Occupied,2024-10-17
R00057,D007,Semi-Private,4,ADM02384,Vacant,2024-06-17
R00058,D007,Private,4,ADM08122,Occupied,2025-01-11
R00059,D005,General,4,,Vacant,2025-04-04
R00060,D006,Private,2,ADM02696,Vacant,2025-03-23
R00061,D003,ICU,4,ADM05762,Occupied,2025-01-06
R00062,D004,ICU,1,,Occupied,2025-02-03
R00063,D005,Private,4,ADM03999,Occupied,2025-02-15
R00064,D005,Semi-Private,1,ADM02231,Occupied,2025-04-28
R00065,D001,General,1,ADM03447,Vacant,2024-07-16
R00066,D001,General,4,ADM06507,Occupied,2025-01-22
R00067,D007,General,4,ADM06322,Occupied,2024-08-01
R00068,D005,General,4,,Vacant,2024-09-30
R00069,D002,ICU,4,,Occupied,2024-06-05
R00070,D005,ICU,1,ADM08498,Occupied,2025-01-03
R00071,D004,Private,4,ADM07801,Occupied,2025-01-24
R00072,D001,ICU,1,ADM01744,Vacant,2024-09-12
R00073,D003,General,1,ADM06652,Vacant,2024-10-07
R00074,D002,Private,4,ADM03913,Occupied,2024-09-03
R00075,D007,ICU,1,ADM02840,Occupied,2024-08-09
R00076,D005,ICU,2,ADM04018,Occupied,2024-06-06
R00077,D003,General,1,,Vacant,2025-03-24
R00078,D001,General,1,ADM08774,Occupied,2024-09-05
R00079,D008,ICU,1,ADM03065,Vacant,2024-07-08
