Hike_ID,Staff_ID,Hike_Date,Previous_Salary,New_Salary,Reason,Location_ID
H0001,S0376,2022-11-27,51491,54762,Promotion,L003
H0002,S0232,2020-12-05,127305,148679,Cost of Living Adjustment,L004
H0003,S0078,2021-03-07,189945,210453,Performance Bonus,L003
H0004,S0103,2023-03-30,77821,82303,Cost of Living Adjustment,L004
H0005,S0494,2022-09-19,82408,97355,Performance Bonus,L004
H0006,S0121,2021-07-11,89897,100861,Cost of Living Adjustment,L003
H0007,S0034,2022-06-03,29229,31244,Cost of Living Adjustment,L004
H0008,S0364,2022-05-18,30799,32590,Annual Review,L004
H0009,S0097,2023-03-24,30703,35222,Cost of Living Adjustment,L003
H0010,S0409,2024-09-24,77614,92074,Annual Review,L003
H0011,S0243,2024-02-02,67224,80035,Cost of Living Adjustment,L004
H0012,S0392,2024-04-10,178497,193176,Performance Bonus,L004
H0013,S0407,2022-10-23,39325,47096,Annual Review,L002
H0014,S0342,2020-10-10,149643,170084,Promotion,L004
H0015,S0346,2022-07-06,83108,91578,Cost of Living Adjustment,L004
H0016,S0368,2021-09-15,161145,191693,Annual Review,L005
H0017,S0480,2020-05-24,104019,121269,Promotion,L001
H0018,S0187,2020-05-20,142347,160175,Cost of Living Adjustment,L003
H0019,S0168,2023-01-15,28509,31014,Cost of Living Adjustment,L001
H0020,S0416,2023-11-20,133454,153806,Cost of Living Adjustment,L005
H0021,S0220,2022-04-01,43888,51639,Annual Review,L003
H0022,S0324,2022-06-02,158962,168222,Promotion,L004
H0023,S0019,2020-12-24,72355,79350,Promotion,L001
H0024,S0311,2021-03-06,91688,108054,Cost of Living Adjustment,L002
H0025,S0181,2022-03-05,124112,138405,Performance Bonus,L003
H0026,S0488,2024-07-30,189082,225657,Annual Review,L004
H0027,S0414,2023-03-12,89081,103283,Promotion,L002
H0028,S0020,2024-04-24,73031,84622,Performance Bonus,L002
H0029,S0385,2022-05-13,111633,127869,Promotion,L002
H0030,S0191,2023-05-22,178771,189854,Promotion,L005
H0031,S0022,2022-10-30,81846,90680,Cost of Living Adjustment,L002
H0032,S0171,2021-06-05,166059,182312,Performance Bonus,L001
H0033,S0314,2021-08-25,151233,174045,Cost of Living Adjustment,L005
H0034,S0045,2020-09-09,94533,100462,Promotion,L002
H0035,S0071,2020-10-05,61611,65797,Annual Review,L001
H0036,S0286,2023-12-31,52560,57559,Cost of Living Adjustment,L001
H0037,S0451,2023-07-19,177743,200415,Promotion,L004
H0038,S0426,2025-03-17,107915,119249,Promotion,L001
H0039,S0101,2021-07-25,129193,149220,Promotion,L005
H0040,S0001,2021-10-25,41652,47631,Performance Bonus,L002
H0041,S0300,2020-10-08,178630,213335,Annual Review,L001
H0042,S0339,2025-01-26,78722,86389,Performance Bonus,L001
H0043,S0253,2023-03-05,71569,81571,Annual Review,L004
H0044,S0244,2024-02-25,27544,29345,Annual Review,L005
H0045,S0099,2023-04-07,136199,154602,Promotion,L004
H0046,S0178,2023-06-12,52121,60115,Performance Bonus,L005
H0047,S0063,2022-06-21,185716,197409,Annual Review,L001
H0048,S0321,2023-02-02,64808,69154,Cost of Living Adjustment,L001
H0049,S0114,2021-04-18,46999,52063,Annual Review,L002
H0050,S0381,2025-01-09,125945,140333,Performance Bonus,L001
H0051,S0495,2020-11-16,128659,138764,Cost of Living Adjustment,L003
H0052,S0393,2023-11-20,46624,51176,Promotion,L002
H0053,S0053,2021-01-21,121716,130692,Annual Review,L005
H0054,S0165,2024-03-31,76826,83161,Annual Review,L002
H0055,S0223,2023-01-22,176803,200892,Annual Review,L003
H0056,S0458,2025-01-17,174436,200427,Annual Review,L002
H0057,S0207,2021-02-04,26338,31439,Performance Bonus,L001
H0058,S0350,2023-06-21,183443,208262,Annual Review,L004
H0059,S0131,2024-06-18,99652,109364,Annual Review,L001
H0060,S0299,2021-07-26,58622,68343,Performance Bonus,L003
H0061,S0300,2022-06-25,110770,123688,Performance Bonus,L002
H0062,S0310,2021-07-16,96721,115840,Annual Review,L005
H0063,S0283,2021-09-26,28223,31198,Annual Review,L001
H0064,S0151,2024-10-23,124057,134289,Annual Review,L001
H0065,S0125,2022-01-01,67457,75280,Cost of Living Adjustment,L001
H0066,S0081,2023-06-04,143283,167826,Cost of Living Adjustment,L001
H0067,S0310,2022-08-10,162029,194415,Performance Bonus,L003
H0068,S0113,2022-03-08,125752,136209,Performance Bonus,L002
H0069,S0247,2021-05-22,77743,82774,Promotion,L001
H0070,S0290,2023-02-13,91244,104864,Performance Bonus,L005
H0071,S0355,2021-06-23,79485,94638,Performance Bonus,L003
H0072,S0446,2024-11-24,65524,73153,Cost of Living Adjustment,L005
H0073,S0095,2025-04-27,59698,63645,Cost of Living Adjustment,L001
H0074,S0299,2023-05-19,189621,201788,Promotion,L002
H0075,S0377,2024-06-01,109913,131603,Promotion,L002
H0076,S0395,2020-12-10,87411,98169,Promotion,L004
H0077,S0008,2024-09-18,103442,118406,Cost of Living Adjustment,L002
H0078,S0324,2021-06-04,118656,137262,Performance Bonus,L005
H0079,S0055,2023-06-08,102690,119069,Promotion,L001
H0080,S0366,2021-10-31,87662,98636,Promotion,L002
H0081,S0286,2020-10-03,35104,41335,Cost of Living Adjustment,L005
H0082,S0088,2023-12-15,139549,155009,Performance Bonus,L004
H0083,S0200,2021-09-15,71590,75837,Annual Review,L005
H0084,S0163,2024-09-15,28073,32909,Annual Review,L001
H0085,S0491,2020-12-21,94979,110711,Cost of Living Adjustment,L003
H0086,S0472,2023-04-19,56713,60033,Cost of Living Adjustment,L003
H0087,S0172,2020-11-28,78532,82852,Promotion,L005
H0088,S0076,2023-04-21,112514,126662,Cost of Living Adjustment,L001
H0089,S0265,2022-09-20,106171,123798,Performance Bonus,L002
H0090,S0322,2024-09-11,167785,194247,Annual Review,L002
H0091,S0096,2025-03-04,186741,196666,Annual Review,L004
H0092,S0433,2023-08-12,126832,152167,Promotion,L002
H0093,S0308,2021-11-24,104043,112640,Annual Review,L002
H0094,S0043,2020-05-25,96503,111363,Cost of Living Adjustment,L003
H0095,S0410,2022-12-07,188973,202688,Annual Review,L005
H0096,S0369,2022-07-31,178173,189884,Promotion,L001
H0097,S0449,2022-11-08,133316,147015,Performance Bonus,L005
H0098,S0309,2022-04-06,141513,164186,Annual Review,L004
H0099,S0130,2020-10-24,47296,51537,Annual Review,L001
H0100,S0011,2024-07-31,86823,102611,Annual Review,L004
H0101,S0362,2024-02-16,53032,62870,Annual Review,L004
H0102,S0209,2022-02-03,120047,143460,Promotion,L005
H0103,S0001,2024-09-05,141168,160273,Annual Review,L004
H0104,S0460,2022-12-24,88503,103496,Performance Bonus,L002
H0105,S0052,2024-04-25,179987,215236,Annual Review,L002
H0106,S0408,2022-03-14,157101,169820,Performance Bonus,L005
H0107,S0440,2022-02-22,156542,187724,Cost of Living Adjustment,L002
H0108,S0030,2021-08-17,183176,202185,Annual Review,L002
H0109,S0166,2023-02-24,109620,127386,Annual Review,L004
H0110,S0064,2022-03-18,109876,117951,Performance Bonus,L004
H0111,S0090,2021-09-13,156431,176857,Annual Review,L005
H0112,S0467,2024-04-23,171242,201237,Annual Review,L002
H0113,S0468,2024-07-30,129265,144488,Performance Bonus,L005
H0114,S0160,2022-07-19,48667,52067,Annual Review,L005
H0115,S0264,2025-04-25,140584,154976,Performance Bonus,L005
H0116,S0041,2022-07-20,135171,143328,Promotion,L001
H0117,S0174,2020-06-25,30149,33219,Performance Bonus,L005
H0118,S0303,2024-09-11,117349,135749,Promotion,L004
H0119,S0118,2021-05-27,42679,50262,Annual Review,L002
H0120,S0397,2022-10-30,91693,106545,Cost of Living Adjustment,L001
H0121,S0464,2024-08-03,186689,217122,Annual Review,L005
H0122,S0092,2023-02-09,156699,173507,Annual Review,L005
H0123,S0205,2022-11-20,32123,38477,Performance Bonus,L002
H0124,S0248,2022-08-02,32717,36207,Annual Review,L005
H0125,S0186,2025-02-22,55373,64514,Promotion,L005
H0126,S0392,2021-04-15,32948,34599,Annual Review,L001
H0127,S0334,2023-12-05,184042,195463,Performance Bonus,L001
H0128,S0024,2021-05-28,79665,94429,Performance Bonus,L004
H0129,S0179,2024-01-23,122534,133394,Promotion,L002
H0130,S0237,2023-04-19,96865,110882,Cost of Living Adjustment,L002
H0131,S0286,2022-03-24,135813,159838,Annual Review,L005
H0132,S0135,2023-07-06,47724,50243,Cost of Living Adjustment,L004
H0133,S0066,2025-01-26,181876,207893,Performance Bonus,L002
H0134,S0495,2023-08-21,109580,124908,Performance Bonus,L004
H0135,S0449,2021-01-14,132444,153112,Performance Bonus,L005
H0136,S0066,2024-08-17,81358,88994,Cost of Living Adjustment,L001
H0137,S0333,2024-09-25,64687,68860,Annual Review,L003
H0138,S0155,2021-10-17,161028,173202,Performance Bonus,L001
H0139,S0005,2022-06-28,153783,167276,Annual Review,L002
H0140,S0080,2025-01-19,32600,38573,Cost of Living Adjustment,L003
H0141,S0403,2020-07-30,42273,46837,Promotion,L001
H0142,S0150,2024-11-02,115888,122641,Promotion,L002
H0143,S0281,2022-12-25,119426,128068,Performance Bonus,L005
H0144,S0014,2023-06-18,162384,184464,Performance Bonus,L002
H0145,S0471,2022-06-08,40865,43077,Performance Bonus,L001
H0146,S0311,2020-05-08,69052,76944,Performance Bonus,L005
H0147,S0282,2024-05-21,99094,117831,Annual Review,L003
H0148,S0498,2024-11-09,172376,185968,Promotion,L003
H0149,S0185,2023-07-16,175176,189781,Annual Review,L001
H0150,S0141,2023-05-11,98877,112768,Performance Bonus,L004
H0151,S0089,2024-12-05,143276,158799,Promotion,L002
H0152,S0024,2021-11-24,32202,37319,Annual Review,L002
H0153,S0189,2025-01-21,175913,210428,Annual Review,L002
H0154,S0275,2020-12-16,113892,132574,Performance Bonus,L001
H0155,S0397,2021-07-15,151317,174700,Performance Bonus,L001
H0156,S0385,2023-07-17,44188,49624,Promotion,L005
H0157,S0302,2021-10-17,136385,151705,Promotion,L002
H0158,S0162,2022-06-28,51964,57682,Cost of Living Adjustment,L001
H0159,S0405,2022-06-15,115162,122965,Promotion,L004
H0160,S0040,2020-08-21,176075,185736,Performance Bonus,L001
H0161,S0417,2022-06-15,136951,151009,Promotion,L003
H0162,S0241,2023-09-14,46389,53057,Promotion,L003
H0163,S0346,2024-03-14,157065,179810,Annual Review,L004
H0164,S0287,2021-08-28,81211,93066,Annual Review,L001
H0165,S0141,2021-11-05,94121,107489,Promotion,L001
H0166,S0482,2025-03-01,171568,181887,Annual Review,L003
H0167,S0093,2024-09-27,58433,66456,Performance Bonus,L005
H0168,S0416,2023-04-25,124673,138278,Annual Review,L004
H0169,S0341,2022-11-07,179336,198188,Cost of Living Adjustment,L005
H0170,S0138,2024-05-02,185419,213279,Annual Review,L003
H0171,S0265,2023-01-18,137784,154350,Performance Bonus,L002
H0172,S0345,2020-07-25,37993,44736,Promotion,L003
H0173,S0451,2021-08-09,92629,102934,Performance Bonus,L005
H0174,S0051,2022-05-16,34074,39884,Performance Bonus,L002
H0175,S0189,2023-07-01,172179,202192,Performance Bonus,L005
H0176,S0370,2022-01-30,149841,164907,Annual Review,L001
H0177,S0159,2023-01-16,89033,104167,Annual Review,L002
H0178,S0162,2024-01-28,168877,183461,Promotion,L001
H0179,S0353,2022-05-09,74977,85555,Promotion,L005
H0180,S0253,2023-03-18,35892,38616,Annual Review,L004
H0181,S0096,2021-11-11,178960,210635,Annual Review,L004
H0182,S0086,2020-08-29,117573,134770,Performance Bonus,L001
H0183,S0243,2021-10-18,60772,65679,Cost of Living Adjustment,L005
H0184,S0147,2023-07-04,66560,77346,Performance Bonus,L001
H0185,S0040,2021-09-01,33397,39075,Promotion,L002
H0186,S0316,2022-11-23,106625,122909,Annual Review,L001
H0187,S0048,2025-03-13,75009,88290,Performance Bonus,L002
H0188,S0242,2023-01-13,148701,168924,Cost of Living Adjustment,L003
H0189,S0399,2020-11-09,93105,107483,Annual Review,L002
H0190,S0397,2023-04-26,42960,49104,Performance Bonus,L003
H0191,S0457,2024-11-04,88792,102903,Performance Bonus,L002
H0192,S0066,2024-03-07,182896,207179,Performance Bonus,L003
H0193,S0305,2022-11-22,71961,85120,Promotion,L004
H0194,S0436,2020-12-17,124210,131274,Annual Review,L001
H0195,S0222,2023-08-15,94654,101778,Annual Review,L004
H0196,S0009,2020-05-12,72951,79149,Cost of Living Adjustment,L001
H0197,S0285,2023-08-07,75943,89512,Promotion,L005
H0198,S0001,2022-10-30,58471,63065,Performance Bonus,L004
H0199,S0349,2021-09-09,105670,111744,Annual Review,L003
H0200,S0364,2023-09-20,167961,182771,Cost of Living Adjustment,L001
H0201,S0062,2020-06-13,114946,126813,Performance Bonus,L004
H0202,S0215,2025-01-27,91608,109317,Annual Review,L002
H0203,S0369,2024-03-16,33662,36455,Annual Review,L001
H0204,S0427,2023-09-30,129408,152740,Annual Review,L003
H0205,S0350,2023-04-17,163230,182860,Cost of Living Adjustment,L003
H0206,S0158,2022-06-02,44812,48491,Annual Review,L003
H0207,S0005,2024-08-18,181038,199801,Cost of Living Adjustment,L002
H0208,S0300,2021-08-16,148982,169001,Cost of Living Adjustment,L005
H0209,S0105,2022-08-29,130261,152635,Annual Review,L001
H0210,S0121,2022-08-04,68500,78983,Performance Bonus,L001
H0211,S0259,2023-02-28,151922,180511,Annual Review,L001
H0212,S0132,2024-08-05,180923,190795,Cost of Living Adjustment,L002
H0213,S0098,2022-06-17,71380,79388,Cost of Living Adjustment,L004
H0214,S0489,2020-08-21,133656,142599,Performance Bonus,L004
H0215,S0298,2025-02-27,54389,59413,Annual Review,L002
H0216,S0288,2024-03-07,65684,76705,Performance Bonus,L001
H0217,S0338,2021-09-04,53235,61571,Annual Review,L001
H0218,S0262,2025-04-08,110256,132118,Cost of Living Adjustment,L005
H0219,S0174,2024-02-09,52553,60788,Performance Bonus,L005
H0220,S0154,2024-08-10,110064,122019,Annual Review,L001
H0221,S0438,2021-10-28,77764,82388,Cost of Living Adjustment,L001
H0222,S0327,2020-07-06,103050,120848,Cost of Living Adjustment,L003
H0223,S0134,2020-05-25,181712,200744,Cost of Living Adjustment,L003
H0224,S0045,2021-08-09,45999,50731,Promotion,L002
H0225,S0150,2022-11-15,54260,61806,Performance Bonus,L004
H0226,S0403,2024-06-06,78561,92541,Cost of Living Adjustment,L003
H0227,S0306,2024-11-11,179110,195369,Annual Review,L002
H0228,S0048,2020-07-05,47941,56031,Promotion,L003
H0229,S0104,2022-09-12,30958,32590,Cost of Living Adjustment,L002
H0230,S0331,2020-10-29,99829,119151,Cost of Living Adjustment,L003
H0231,S0019,2021-09-14,182690,209215,Performance Bonus,L001
H0232,S0125,2022-02-02,132901,156101,Promotion,L005
H0233,S0319,2020-05-17,154116,178779,Cost of Living Adjustment,L004
H0234,S0260,2022-03-06,27515,30093,Performance Bonus,L004
H0235,S0366,2021-05-21,71840,77128,Promotion,L004
H0236,S0148,2021-02-21,180547,208948,Promotion,L005
H0237,S0133,2021-09-29,135098,142747,Performance Bonus,L003
H0238,S0030,2022-01-23,91936,109750,Annual Review,L003
H0239,S0392,2021-01-20,153054,173081,Annual Review,L005
H0240,S0131,2021-03-17,138651,147967,Performance Bonus,L003
H0241,S0097,2024-02-13,88094,99177,Promotion,L004
H0242,S0247,2024-01-04,163289,177381,Cost of Living Adjustment,L005
H0243,S0026,2023-11-16,70196,79814,Performance Bonus,L004
H0244,S0219,2023-08-17,157837,178197,Promotion,L004
H0245,S0378,2022-06-09,45167,48138,Promotion,L003
H0246,S0267,2025-03-05,100495,106119,Annual Review,L003
H0247,S0023,2023-11-27,74289,78813,Cost of Living Adjustment,L004
H0248,S0303,2022-05-06,99644,108553,Annual Review,L003
H0249,S0354,2021-08-30,180702,208507,Promotion,L005
H0250,S0108,2020-08-12,134741,156283,Promotion,L001
H0251,S0311,2021-01-10,73710,78035,Promotion,L002
H0252,S0310,2020-06-04,147132,170781,Promotion,L001
H0253,S0247,2023-11-07,75769,90108,Cost of Living Adjustment,L004
H0254,S0153,2023-07-19,58806,66164,Performance Bonus,L001
H0255,S0026,2021-04-24,65709,74845,Cost of Living Adjustment,L001
