Attendance_ID,Staff_ID,Attendance_Date,Status,Shift,Location_ID
AT00001,S0449,2024-04-24,Leave,Morning,L001
AT00002,S0246,2025-03-17,Leave,Morning,L005
AT00003,S0332,2025-04-17,Present,Afternoon,L001
AT00004,S0399,2025-02-18,Absent,Morning,L003
AT00005,S0335,2024-11-04,Leave,Morning,L002
AT00006,S0498,2024-10-03,Absent,Night,L002
AT00007,S0318,2024-10-18,Absent,Night,L003
AT00008,S0417,2024-05-20,Leave,Morning,L005
AT00009,S0278,2024-10-22,Sick,Morning,L005
AT00010,S0142,2024-12-12,Sick,Morning,L002
AT00011,S0356,2024-11-20,Present,Night,L005
AT00012,S0242,2025-02-21,Absent,Morning,L005
AT00013,S0415,2025-01-04,Leave,Afternoon,L002
AT00014,S0058,2024-05-23,Absent,Night,L001
AT00015,S0222,2024-08-10,Present,Night,L004
AT00016,S0437,2025-04-21,Absent,Afternoon,L003
AT00017,S0109,2025-02-10,Sick,Morning,L005
AT00018,S0363,2024-09-01,Sick,Night,L003
AT00019,S0327,2025-04-10,Leave,Morning,L003
AT00020,S0135,2024-07-14,Leave,Night,L004
AT00021,S0192,2025-01-26,Leave,Morning,L005
AT00022,S0220,2025-02-14,Sick,Morning,L003
AT00023,S0432,2025-03-05,Absent,Afternoon,L002
AT00024,S0085,2024-11-09,Leave,Morning,L001
AT00025,S0467,2024-06-14,Absent,Morning,L003
AT00026,S0376,2024-09-16,Sick,Night,L003
AT00027,S0148,2025-03-29,Sick,Night,L001
AT00028,S0475,2025-01-09,Absent,Morning,L001
AT00029,S0187,2024-07-02,Sick,Night,L001
AT00030,S0336,2024-05-29,Leave,Morning,L004
AT00031,S0170,2024-09-25,Leave,Afternoon,L002
AT00032,S0014,2025-01-29,Leave,Afternoon,L004
AT00033,S0086,2025-03-13,Leave,Morning,L005
AT00034,S0333,2024-11-05,Sick,Morning,L003
AT00035,S0278,2024-06-05,Sick,Night,L004
AT00036,S0364,2025-03-22,Sick,Afternoon,L005
AT00037,S0014,2024-06-25,Absent,Night,L002
AT00038,S0172,2024-05-19,Leave,Afternoon,L002
AT00039,S0388,2025-04-16,Present,Afternoon,L004
AT00040,S0112,2024-09-21,Present,Night,L001
AT00041,S0462,2025-01-08,Leave,Night,L001
AT00042,S0468,2024-08-03,Sick,Morning,L003
AT00043,S0407,2024-05-19,Leave,Afternoon,L003
AT00044,S0062,2025-01-02,Sick,Afternoon,L001
AT00045,S0423,2025-02-18,Sick,Afternoon,L002
AT00046,S0469,2024-05-20,Present,Morning,L002
AT00047,S0347,2024-08-17,Absent,Night,L001
AT00048,S0167,2025-01-19,Sick,Night,L002
AT00049,S0275,2025-03-01,Sick,Morning,L005
AT00050,S0134,2025-02-01,Present,Night,L005
AT00051,S0208,2025-01-17,Leave,Night,L001
AT00052,S0288,2025-04-24,Present,Morning,L001
AT00053,S0140,2024-11-27,Leave,Morning,L005
AT00054,S0206,2024-08-23,Absent,Morning,L003
AT00055,S0001,2024-07-10,Absent,Morning,L001
AT00056,S0018,2024-11-01,Leave,Morning,L001
AT00057,S0188,2024-04-26,Sick,Afternoon,L002
AT00058,S0293,2025-01-21,Leave,Night,L003
AT00059,S0251,2024-11-06,Leave,Morning,L002
AT00060,S0033,2024-06-02,Sick,Night,L002
AT00061,S0066,2024-06-15,Present,Morning,L003
AT00062,S0390,2024-04-24,Present,Afternoon,L001
AT00063,S0475,2024-12-19,Present,Afternoon,L002
AT00064,S0114,2024-12-03,Leave,Morning,L002
AT00065,S0374,2024-08-25,Absent,Night,L004
AT00066,S0106,2024-12-09,Sick,Morning,L005
AT00067,S0068,2024-07-06,Sick,Afternoon,L003
AT00068,S0196,2024-04-29,Present,Afternoon,L001
AT00069,S0262,2024-11-12,Sick,Morning,L005
AT00070,S0379,2025-03-21,Absent,Night,L002
AT00071,S0088,2024-05-19,Sick,Night,L002
AT00072,S0399,2024-12-25,Absent,Afternoon,L003
AT00073,S0316,2025-03-09,Sick,Afternoon,L005
AT00074,S0486,2024-05-18,Leave,Morning,L005
AT00075,S0084,2024-05-22,Leave,Morning,L002
AT00076,S0292,2025-01-22,Sick,Afternoon,L004
AT00077,S0019,2024-06-29,Leave,Night,L001
AT00078,S0296,2025-03-18,Sick,Afternoon,L004
AT00079,S0279,2025-02-12,Absent,Night,L002
AT00080,S0414,2024-08-28,Sick,Afternoon,L005
AT00081,S0301,2024-07-04,Absent,Morning,L005
AT00082,S0391,2024-05-01,Sick,Afternoon,L004
AT00083,S0468,2024-09-21,Leave,Morning,L001
AT00084,S0132,2025-01-21,Leave,Morning,L002
AT00085,S0349,2024-07-10,Present,Morning,L004
AT00086,S0061,2024-10-15,Present,Night,L002
AT00087,S0373,2024-08-15,Sick,Afternoon,L001
AT00088,S0303,2025-02-17,Leave,Afternoon,L002
AT00089,S0426,2024-12-18,Leave,Morning,L005
AT00090,S0134,2024-11-24,Absent,Morning,L002
AT00091,S0031,2024-12-02,Leave,Night,L001
AT00092,S0105,2024-06-22,Leave,Afternoon,L004
AT00093,S0142,2024-12-01,Absent,Morning,L004
AT00094,S0125,2024-11-29,Absent,Afternoon,L004
AT00095,S0425,2025-03-06,Present,Night,L005
AT00096,S0015,2025-02-09,Present,Afternoon,L003
AT00097,S0174,2025-04-05,Present,Morning,L005
AT00098,S0131,2025-04-09,Absent,Night,L002
AT00099,S0231,2024-12-15,Leave,Morning,L004
AT00100,S0169,2024-10-02,Absent,Night,L001
AT00101,S0270,2024-11-27,Absent,Morning,L003
AT00102,S0300,2025-03-10,Leave,Afternoon,L004
AT00103,S0430,2025-03-10,Absent,Afternoon,L003
AT00104,S0389,2024-11-10,Present,Morning,L003
AT00105,S0046,2024-06-19,Leave,Afternoon,L002
AT00106,S0205,2025-01-21,Leave,Morning,L005
AT00107,S0027,2024-11-01,Absent,Night,L002
AT00108,S0401,2024-11-07,Leave,Morning,L002
AT00109,S0128,2024-12-07,Sick,Afternoon,L002
AT00110,S0173,2024-06-03,Leave,Morning,L005
AT00111,S0245,2025-01-10,Present,Afternoon,L005
AT00112,S0302,2025-01-14,Sick,Afternoon,L005
AT00113,S0323,2025-03-02,Sick,Night,L002
AT00114,S0340,2024-08-12,Present,Afternoon,L005
AT00115,S0242,2025-01-23,Absent,Night,L005
AT00116,S0148,2025-03-21,Sick,Night,L004
AT00117,S0361,2024-10-30,Absent,Night,L001
AT00118,S0099,2024-09-14,Sick,Night,L005
AT00119,S0067,2025-04-20,Absent,Night,L003
AT00120,S0089,2024-05-18,Leave,Morning,L001
AT00121,S0442,2024-09-06,Leave,Afternoon,L005
