Item_ID,Item_Name,Quantity,Last_Restocked,Unit_Cost,Location_ID
I001,Syringes,402,2024-06-21,1879,L001
I002,Bandages,648,2024-09-27,2725,L001
I003,Gloves,302,2024-08-03,3752,L004
I004,Masks,936,2024-07-20,1475,L002
I005,IV Fluids,542,2025-03-12,1225,L002
I006,Surgical Kits,907,2024-10-18,1516,L005
I007,Ventilators,162,2025-04-06,2181,L004
I008,Defibrillators,186,2025-01-31,955,L002
I009,MRI Films,718,2024-07-11,423,L003
I010,Chemotherapy Drugs,805,2024-08-05,3475,L005
I011,Antibiotics,538,2025-03-06,3021,L001
I012,Painkillers,113,2025-03-29,2711,L004
