Room_ID,Location_ID,Room_Type,Capacity,Admission_ID,Occupancy_Status,Last_Cleaned
R00001,L002,Semi-Private,2,ADM03810,Occupied,2024-12-13
R00002,L003,General,2,ADM00784,Occupied,2025-03-02
R00003,L003,Private,1,ADM03901,Occupied,2024-04-24
R00004,L004,Semi-Private,1,ADM00802,Occupied,2024-11-30
R00005,L004,ICU,4,ADM06115,Occupied,2025-03-09
R00006,L002,Private,2,ADM05454,Occupied,2024-06-04
R00007,L001,General,1,ADM08735,Occupied,2024-12-14
R00008,L004,General,1,ADM02702,Occupied,2024-10-21
R00009,L001,ICU,1,ADM06698,Occupied,2024-12-30
R00010,L005,General,1,,Occupied,2025-03-02
R00011,L005,General,1,ADM03679,Vacant,2024-12-22
R00012,L002,Private,2,ADM00465,Vacant,2024-11-11
R00013,L005,General,2,ADM09809,Occupied,2024-06-09
R00014,L001,Private,4,ADM00800,Occupied,2024-08-26
R00015,L003,Semi-Private,2,ADM06551,Occupied,2024-09-10
R00016,L003,ICU,2,ADM05698,Occupied,2025-02-25
R00017,L003,General,4,ADM09378,Occupied,2025-03-18
R00018,L002,ICU,2,ADM04286,Occupied,2024-12-10
R00019,L004,General,4,ADM05614,Occupied,2025-03-24
R00020,L001,Semi-Private,2,ADM03089,Occupied,2024-12-19
R00021,L004,ICU,1,ADM08899,Occupied,2025-01-24
R00022,L002,General,1,ADM00604,Vacant,2024-11-29
R00023,L002,Semi-Private,1,ADM09966,Occupied,2024-09-16
R00024,L005,General,4,ADM08206,Occupied,2024-09-29
R00025,L001,Private,2,ADM07270,Vacant,2024-05-13
R00026,L003,General,2,,Occupied,2025-01-25
R00027,L001,General,4,ADM07905,Occupied,2024-07-25
R00028,L003,Private,4,,Vacant,2025-03-07
R00029,L002,Semi-Private,1,ADM02809,Occupied,2024-05-24
R00030,L001,ICU,2,ADM03121,Occupied,2024-09-08
R00031,L004,ICU,2,ADM05954,Vacant,2025-04-24
R00032,L001,ICU,4,,Occupied,2024-07-10
R00033,L002,Private,1,ADM07723,Occupied,2025-04-17
R00034,L003,ICU,2,,Vacant,2024-05-15
R00035,L004,Private,4,ADM05654,Occupied,2025-03-22
R00036,L005,Semi-Private,1,ADM05866,Occupied,2025-03-05
R00037,L002,Semi-Private,1,ADM00780,Occupied,2024-06-19
R00038,L004,ICU,1,ADM08684,Vacant,2024-12-16
R00039,L002,Semi-Private,4,ADM04628,Occupied,2024-08-11
R00040,L003,ICU,2,ADM05383,Occupied,2024-07-01
R00041,L004,ICU,1,ADM04193,Vacant,2024-05-27
R00042,L001,ICU,1,,Occupied,2024-10-21
R00043,L005,General,4,,Occupied,2024-07-12
R00044,L004,General,1,ADM03636,Occupied,2024-07-21
R00045,L003,Semi-Private,2,ADM00096,Occupied,2025-02-18
R00046,L005,General,2,ADM04275,Occupied,2025-04-20
R00047,L002,ICU,4,ADM01113,Vacant,2024-05-29
R00048,L005,General,1,ADM08920,Occupied,2024-10-09
R00049,L003,ICU,4,ADM01474,Vacant,2024-10-16
R00050,L004,ICU,1,ADM04952,Occupied,2024-05-27
R00051,L003,General,2,ADM06181,Occupied,2024-08-08
R00052,L005,General,4,ADM04564,Occupied,2025-01-11
R00053,L004,Semi-Private,4,ADM04373,Occupied,2024-09-29
R00054,L003,General,1,ADM09051,Occupied,2024-06-30
R00055,L005,ICU,1,ADM04335,Occupied,2024-09-23
R00056,L001,Private,4,ADM02904,Occupied,2024-11-30
R00057,L003,ICU,2,ADM00587,Occupied,2025-03-14
R00058,L001,Private,4,ADM03618,Occupied,2025-04-20
R00059,L004,General,1,ADM07449,Occupied,2024-09-14
R00060,L002,ICU,1,ADM06473,Occupied,2024-07-28
R00061,L003,General,2,ADM02371,Occupied,2024-04-30
R00062,L002,Semi-Private,1,ADM03699,Occupied,2024-06-26
R00063,L001,ICU,4,,Occupied,2025-01-23
R00064,L003,ICU,2,,Vacant,2025-01-22
R00065,L005,Semi-Private,2,,Vacant,2025-03-16
R00066,L001,General,4,ADM07334,Vacant,2024-08-17
R00067,L002,General,4,ADM09370,Occupied,2025-03-05
R00068,L002,Semi-Private,2,,Occupied,2024-12-06
R00069,L001,General,2,,Occupied,2025-02-17
R00070,L004,ICU,4,ADM09523,Occupied,2025-01-03
R00071,L002,Semi-Private,2,,Occupied,2024-05-12
R00072,L005,ICU,4,,Occupied,2024-06-07
R00073,L004,Semi-Private,1,,Occupied,2025-03-10
R00074,L001,Semi-Private,1,ADM00978,Occupied,2025-02-11
R00075,L005,Semi-Private,2,ADM06314,Occupied,2024-12-28
R00076,L003,General,4,ADM08387,Occupied,2024-09-07
R00077,L002,General,4,ADM02821,Occupied,2025-02-21
R00078,L003,ICU,2,ADM05577,Occupied,2024-11-03
R00079,L005,ICU,4,,Occupied,2024-05-04
R00080,L003,General,2,ADM08187,Vacant,2025-03-10
R00081,L002,General,1,ADM05879,Occupied,2024-09-29
R00082,L004,Private,4,ADM05544,Occupied,2024-07-24
R00083,L003,ICU,2,ADM04776,Occupied,2024-11-25
R00084,L001,Semi-Private,1,ADM03230,Occupied,2024-11-23
R00085,L005,Private,4,ADM06890,Occupied,2024-05-07
R00086,L003,Private,2,ADM08451,Occupied,2025-03-05
R00087,L002,Semi-Private,2,ADM08291,Occupied,2024-10-21
R00088,L002,ICU,2,ADM04925,Occupied,2024-09-08
R00089,L004,Semi-Private,4,ADM03629,Occupied,2024-12-03
R00090,L001,ICU,2,ADM09875,Vacant,2024-07-20
R00091,L002,Private,4,,Occupied,2024-09-22
R00092,L002,ICU,4,ADM07960,Vacant,2024-10-28
R00093,L001,Semi-Private,1,,Occupied,2025-02-02
R00094,L001,Semi-Private,2,ADM01903,Occupied,2025-04-19
R00095,L001,Semi-Private,2,ADM08865,Occupied,2024-05-29
R00096,L001,Private,1,ADM02885,Occupied,2024-11-14
R00097,L005,Semi-Private,2,ADM04340,Vacant,2024-12-01
R00098,L005,Private,2,ADM08688,Occupied,2025-02-25
R00099,L003,ICU,2,ADM06734,Vacant,2024-07-10
R00100,L003,Private,4,ADM02677,Occupied,2025-04-09
