Hike_ID,Staff_ID,Hike_Date,Previous_Salary,New_Salary,Reason,Location_ID
H0001,S0142,2024-04-08,75814,82168,Performance Bonus,L005
H0002,S0372,2021-11-04,29151,33310,Cost of Living Adjustment,L001
H0003,S0272,2021-02-03,49564,59078,Annual Review,L005
H0004,S0449,2024-05-25,33926,35882,Annual Review,L002
H0005,S0446,2024-05-31,36711,43969,Annual Review,L003
H0006,S0412,2022-05-07,113262,127388,Performance Bonus,L005
H0007,S0064,2020-06-05,185829,205681,Promotion,L001
H0008,S0056,2021-06-26,147377,169761,Annual Review,L003
H0009,S0378,2023-03-16,32806,37051,Cost of Living Adjustment,L005
H0010,S0254,2022-11-10,89492,97325,Annual Review,L001
H0011,S0211,2021-04-04,100119,120108,Annual Review,L001
H0012,S0060,2023-10-08,122958,140197,Performance Bonus,L004
H0013,S0349,2020-10-11,91598,105590,Performance Bonus,L003
H0014,S0070,2022-10-14,188108,199482,Performance Bonus,L001
H0015,S0287,2021-02-21,172732,188379,Performance Bonus,L001
H0016,S0020,2022-07-22,105511,110811,Promotion,L001
H0017,S0125,2020-06-28,184698,208797,Cost of Living Adjustment,L001
H0018,S0014,2022-01-19,109377,119755,Promotion,L003
H0019,S0290,2022-05-10,104350,118049,Annual Review,L003
H0020,S0284,2022-05-31,63154,75614,Cost of Living Adjustment,L004
H0021,S0383,2025-04-05,111685,121479,Performance Bonus,L003
H0022,S0008,2022-07-02,71555,81619,Cost of Living Adjustment,L004
H0023,S0386,2024-10-15,29299,31069,Promotion,L002
H0024,S0104,2021-12-07,153044,167695,Performance Bonus,L002
H0025,S0202,2022-12-17,114453,133583,Promotion,L004
H0026,S0036,2023-02-19,49365,58598,Cost of Living Adjustment,L005
H0027,S0322,2025-01-10,116467,129124,Promotion,L005
H0028,S0134,2023-01-20,107927,114635,Annual Review,L003
H0029,S0007,2021-10-21,71926,79073,Performance Bonus,L003
H0030,S0135,2021-03-10,112357,128646,Promotion,L003
H0031,S0235,2020-12-19,48935,58332,Annual Review,L004
H0032,S0120,2022-05-18,138351,155077,Annual Review,L004
H0033,S0311,2023-08-23,150248,172353,Cost of Living Adjustment,L003
H0034,S0410,2023-03-31,37549,42837,Promotion,L004
H0035,S0104,2021-05-27,36271,41901,Annual Review,L004
H0036,S0295,2023-02-01,54681,64997,Annual Review,L003
H0037,S0163,2022-10-08,148230,157719,Annual Review,L005
H0038,S0274,2024-12-28,87069,102909,Annual Review,L001
H0039,S0357,2024-10-31,59520,70929,Cost of Living Adjustment,L005
H0040,S0009,2020-07-14,113413,135905,Annual Review,L001
H0041,S0318,2021-12-16,114599,137109,Annual Review,L003
H0042,S0318,2023-05-01,114935,126563,Promotion,L001
H0043,S0237,2020-09-07,36601,42613,Performance Bonus,L002
H0044,S0183,2024-02-19,164435,173570,Annual Review,L004
H0045,S0437,2022-10-15,41089,46250,Cost of Living Adjustment,L003
H0046,S0215,2025-03-15,152661,172565,Cost of Living Adjustment,L004
H0047,S0387,2022-02-18,143094,157375,Performance Bonus,L002
H0048,S0001,2024-11-22,32967,34818,Cost of Living Adjustment,L001
H0049,S0170,2021-12-29,138442,161760,Annual Review,L002
H0050,S0406,2021-07-25,83950,95970,Performance Bonus,L004
H0051,S0088,2020-08-27,108264,114561,Performance Bonus,L001
H0052,S0249,2023-08-13,71932,77783,Annual Review,L005
H0053,S0067,2023-02-21,169670,202263,Annual Review,L004
H0054,S0263,2020-09-08,68167,75322,Performance Bonus,L002
H0055,S0121,2025-01-09,27992,32991,Performance Bonus,L003
H0056,S0169,2021-03-29,53607,60053,Annual Review,L003
H0057,S0239,2020-07-27,101491,106626,Cost of Living Adjustment,L005
H0058,S0265,2024-09-14,173174,185473,Performance Bonus,L004
H0059,S0141,2020-05-22,123988,134682,Promotion,L003
H0060,S0422,2020-05-01,156506,186376,Cost of Living Adjustment,L002
H0061,S0140,2021-10-03,177881,189928,Performance Bonus,L001
H0062,S0255,2022-08-29,133199,146383,Annual Review,L005
H0063,S0455,2022-10-11,54340,58118,Cost of Living Adjustment,L001
H0064,S0385,2025-04-16,147411,159794,Cost of Living Adjustment,L002
H0065,S0142,2024-06-26,90109,99926,Performance Bonus,L005
H0066,S0385,2023-01-01,68108,73939,Performance Bonus,L002
H0067,S0289,2020-08-18,74543,82554,Promotion,L002
H0068,S0378,2021-08-06,182426,206422,Performance Bonus,L002
H0069,S0082,2021-05-25,104664,116949,Promotion,L001
H0070,S0150,2024-08-05,28221,33771,Cost of Living Adjustment,L005
H0071,S0407,2025-02-04,151060,159155,Cost of Living Adjustment,L002
H0072,S0381,2022-09-25,136311,154656,Annual Review,L005
H0073,S0402,2024-09-16,128508,142406,Annual Review,L003
H0074,S0424,2023-05-25,174161,188951,Annual Review,L003
H0075,S0049,2024-06-08,182450,213308,Performance Bonus,L003
H0076,S0069,2023-06-30,157158,170214,Annual Review,L001
H0077,S0255,2024-06-20,127011,133486,Annual Review,L004
H0078,S0480,2021-09-15,103713,109314,Annual Review,L005
H0079,S0285,2022-04-23,92422,102667,Cost of Living Adjustment,L005
H0080,S0338,2023-12-13,158974,171353,Promotion,L001
H0081,S0494,2022-08-11,177064,204482,Annual Review,L003
H0082,S0342,2024-12-25,97667,111061,Cost of Living Adjustment,L001
H0083,S0054,2021-04-10,56053,63382,Performance Bonus,L003
H0084,S0378,2020-06-26,161222,191011,Performance Bonus,L005
H0085,S0008,2024-11-22,113595,123534,Promotion,L005
H0086,S0463,2021-09-12,185082,199757,Cost of Living Adjustment,L002
H0087,S0494,2024-09-20,43137,46036,Promotion,L004
H0088,S0291,2021-08-08,184250,195117,Performance Bonus,L004
H0089,S0404,2021-11-13,43948,52280,Promotion,L005
H0090,S0075,2024-10-08,174607,202965,Promotion,L005
H0091,S0103,2025-01-22,90109,98238,Annual Review,L003
H0092,S0468,2020-06-29,135291,146786,Cost of Living Adjustment,L003
H0093,S0476,2023-01-07,109392,123978,Annual Review,L004
H0094,S0458,2021-03-15,174441,187991,Annual Review,L005
H0095,S0146,2020-12-12,76044,90924,Performance Bonus,L001
H0096,S0152,2023-01-27,31683,37170,Annual Review,L001
H0097,S0270,2021-01-15,126079,145370,Cost of Living Adjustment,L001
H0098,S0462,2024-02-04,118019,139547,Promotion,L004
H0099,S0260,2021-04-19,137530,158011,Cost of Living Adjustment,L003
H0100,S0342,2025-03-15,81495,88198,Cost of Living Adjustment,L003
